score_id,candidate_id,included_order,original_screening_rank,title,project_fit,dataset_evidence_value,method_gap_value,decision_leverage,actual_use_likelihood,evidence_specificity,information_uncertainty,estimated_reading_cost,primary_role,primary_theme,dataset_cluster,task_cluster,modality_cluster,score_confidence,evidence_note,reviewer,model,protocol_version,scored_at,supersedes_score_id,notes
PR_6153831906495b6d,doi:10.1109/icra.2018.8460962,113,124,Real-Time Semantic Segmentation of Crop and Weed for Precision Agriculture Robots Leveraging Background Knowledge in CNNs,4,2,3,3,4,3,2,2,segmentation_method,crop_weed_segmentation,MFWD;WeedsGalore,semantic_segmentation,RGB,high,Real-time crop/weed segmentation at 20 Hz; leverages vegetation indexes as background knowledge; generalizes to unseen fields; 434 citations,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_babc6b7f5ee855cb,doi:10.1109/access.2023.3263042,114,125,FieldPlant: A Dataset of Field Plant Images for Plant Disease Detection and Classification With Deep Learning,2,4,1,1,1,3,1,2,dataset_introduction,plant_disease_segmentation,FieldPlant;PlantSeg,classification;object_detection,RGB,high,FieldPlant: A Dataset of Field Plant Images for Plant Disease Detection and Classification With Deep Learning,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
SC_c8d9e0f1,doi:10.48550/arxiv.2411.11285,115,133,Zero-Shot Automatic Annotation and Instance Segmentation using LLM-Generated Datasets: Eliminating Field Imaging and Manual Annotation for Deep Learning Model Development,3,2,3,2,3,3,3,3,foundation_model_study,foundation_models,SoyCotton,instance_segmentation,RGB,medium,LLM-generated synthetic orchard images + SAM+YOLO for zero-shot apple segmentation; eliminates field data collection; synthetic-to-real validation,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_c0c82c0c459120a0,doi:10.1109/iccica67008.2025.11337290,116,135,Deep Learning Based Weed Control Strategies: A Comprehensive Review,2,1,1,1,1,2,1,4,survey_or_review,crop_weed_segmentation,MFWD,classification;object_detection,RGB,medium,Deep Learning Based Weed Control Strategies: A Comprehensive Review,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_976a2e09f2519736,doi:10.3390/rs10111690,117,137,Deep Learning with Unsupervised Data Labeling for Weed Detection in Line Crops in UAV Images,2,1,1,1,4,3,2,2,contextual_background,remote_sensing_uav,MFWD,object_detection;classification,RGB;UAV,medium,Deep Learning with Unsupervised Data Labeling for Weed Detection in Line Crops in UAV Images,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_d1178ad833c877a2,doi:10.1186/s13007-025-01334-3,118,139,Deep-learning-ready RGB-depth images of seedling development,2,4,1,1,4,1,1,1,contextual_background,other,MFWD;Seedling_RGBD,instance_segmentation;detection,RGB;depth;RGB-D,high,Deep-learning-ready RGB-depth images of seedling development,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
SC_i1j2k3l4,doi:10.1038/s41597-023-02098-y,119,140,"VegAnn, Vegetation Annotation of multi-crop RGB images acquired under diverse conditions for segmentation",4,4,3,3,1,4,3,1,dataset_introduction,dataset_quality_and_benchmarking,MuST-C;SoyCotton;VegAnn,semantic_segmentation,RGB,high,VegAnn: 3775 multi-crop RGB vegetation segmentation images under diverse conditions; addresses generalization to real-world images; high project relevance,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_c2cd9103c394adee,doi:10.5281/zenodo.17217565,120,144,2023-2025 Tomato dataset,1,2,1,1,1,1,1,1,dataset_introduction,other,Horti-M3-Tomato;Tomato_2023-2025,other,RGB,low,Tomato dataset with camera/environmental monitoring data; minimal documentation; primarily a data repository entry,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_1b1d9e4a7c3f5b8e,doi:10.6084/m9.figshare.29222462,121,145,AgriVision: A Benchmark Dataset for Advancing Real-World Robotic Vision in Densely Fruited Blueberry Crop,2,4,2,2,1,4,2,1,dataset_introduction,orchard_robotics,AgriVision;AgriVision_Blueberry,instance_segmentation,RGB,medium,"AgriVision blueberry dataset: 1195 annotated images, 141K video frames, 10K synthetic images; supports supervised, weakly-supervised, and synthetic learning",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_9d0e1f2a3b4c5d6e,doi:10.1016/j.aiia.2024.07.001,122,147,Comparing YOLOv8 and Mask R-CNN for instance segmentation in complex orchard environments,3,2,2,2,4,4,2,2,segmentation_method,orchard_robotics,MFO / Modern Fruit Orchards,instance_segmentation,RGB,high,"YOLOv8 vs Mask R-CNN for orchard instance segmentation; dormant apple trees and immature green apples; YOLOv8 achieves 0.90 precision, 0.95 recall at 10.9ms",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_4a836783fc96a122,doi:10.1145/3696409.3700293,123,148,Snap and Diagnose: An Advanced Multimodal Retrieval System for Identifying Plant Diseases in the Wild,4,4,3,3,1,2,3,2,multimodal_or_sensor_method,multimodal_fusion,PlantSeg;PlantWild,classification;retrieval,RGB;text;multimodal,high,Snap and Diagnose: An Advanced Multimodal Retrieval System for Identifying Plant Diseases in the Wild,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_ae54c5d6277dbb92,doi:10.34133/plantphenomics.0080,124,149,Eff-3DPSeg: 3D Organ-Level Plant Shoot Segmentation Using Annotation-Efficient Deep Learning,3,1,1,2,4,4,1,2,3d_or_phenotyping_method,3d_phenotyping,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes,semantic_segmentation;instance_segmentation;3d_segmentation,3D;point_cloud,high,Eff-3DPSeg: 3D Organ-Level Plant Shoot Segmentation Using Annotation-Efficient Deep Learning,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_49f656dd32af3653,doi:10.1016/j.compag.2022.107091,125,150,Performance Evaluation of Deep Transfer Learning on Multiclass Identification of Common Weed Species in Cotton Production Systems,2,4,1,1,4,4,1,2,contextual_background,crop_weed_segmentation,Cotton_Weed_15;SoyCotton,classification,RGB,high,Performance Evaluation of Deep Transfer Learning on Multiclass Identification of Common Weed Species in Cotton Productio,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
SC_f5e6d7c8,doi:10.1109/access.2020.2991354,126,152,Semantic Segmentation of Crop and Weed using an Encoder-Decoder Network and Image Enhancement Method under Uncontrolled Outdoor Illumination,4,2,4,3,4,4,4,2,robustness_or_reliability_method,crop_weed_segmentation,WeedsGalore,semantic_segmentation,RGB;NIR,high,Illumination robustness for crop/weed segmentation; NIR effectiveness under poor lighting; image enhancement methods; directly relevant to sensor reliability,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_2c3d0e8f6a7b4c1d,doi:10.1016/j.mex.2025.103169,127,153,Modification of an automated precision farming robot for high temporal resolution measurement of leaf angle dynamics using stereo vision,2,1,1,1,2,3,1,2,3d_or_phenotyping_method,3d_phenotyping,MuST-C,3d_reconstruction,RGB;depth,medium,Modified farming robot with stereo vision for leaf angle measurement; low-cost open-source platform; high temporal resolution 3D point clouds,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
SC_e7f8g9h0,doi:10.3389/fpls.2024.1439086,128,155,NeRF-based 3D reconstruction pipeline for acquisition and analysis of tomato crop morphology,2,2,2,2,3,4,2,3,3d_or_phenotyping_method,3d_phenotyping,TomatoWUR,3d_reconstruction,RGB;depth,medium,NeRF-based 3D tomato phenotyping pipeline; greenhouse robot; high correlation with manual measurements (R² 0.96+),opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_3d9f3bf062ed784a,doi:10.1109/wacv57701.2024.00693,129,156,Towards Accurate Disease Segmentation in Plant Images: A Comprehensive Dataset Creation and Network Evaluation,2,3,2,1,3,3,1,2,dataset_introduction,plant_disease_segmentation,NLB_Maize;PlantSeg,instance_segmentation,RGB,medium,NLB maize disease dataset (1000 images); Mask R-CNN and Cascade Mask R-CNN evaluation; ResNet Strikes Back-50 achieves highest mAP,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_f2651aa5e161ce93,doi:10.1109/icpics66386.2025.11347300,130,158,Research on Automatic Detection Algorithm of Plant Invasion Based on Computer Vision,2,1,1,1,4,2,1,2,contextual_background,other,MFWD,object_detection,RGB,medium,Research on Automatic Detection Algorithm of Plant Invasion Based on Computer Vision,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_cc4400960395358b,doi:10.3390/rs10020285,131,159,An Automatic Random Forest-OBIA Algorithm for Early Weed Mapping between and within Crop Rows Using UAV Imagery,2,1,1,1,4,2,1,2,contextual_background,remote_sensing_uav,BAWSeg,semantic_segmentation;mapping,RGB;UAV,medium,An Automatic Random Forest-OBIA Algorithm for Early Weed Mapping between and within Crop Rows Using UAV Imagery,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_14261597b1f196b7,doi:10.1016/j.array.2025.100412,132,166,"Application of artificial intelligence in agri-tech, environmental and biodiversity conservation",2,1,1,1,4,2,1,2,contextual_background,other,Horti-M3-Tomato,classification;object_detection,RGB;multimodal,medium,"Application of artificial intelligence in agri-tech, environmental and biodiversity conservation",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_3148aed666c2fe63,doi:10.1109/aimla63829.2025.11040883,133,167,Deep Learning-Based Evaluation of Models for Rice and Sorghum Weed Classification Using the MFWD Dataset,2,2,1,1,1,1,1,1,dataset_introduction,crop_weed_segmentation,MFWD,classification,RGB,low,Deep Learning-Based Evaluation of Models for Rice and Sorghum Weed Classification Using the MFWD Dataset,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_9bef7c0bf80a2384,doi:10.3390/agriculture15161723,134,168,U-MoEMamba: A Hybrid Expert Segmentation Model for Cabbage Heads in Complex UAV Low-Altitude Remote Sensing Scenarios,3,1,1,2,1,3,1,2,segmentation_method,remote_sensing_uav,BAWSeg,semantic_segmentation,RGB;UAV,high,U-MoEMamba: A Hybrid Expert Segmentation Model for Cabbage Heads in Complex UAV Low-Altitude Remote Sensing Scenarios,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_383243b4ed4726f8,doi:10.5073/20220124-075254,135,169,Better-Weeds – Next generation weed management,2,1,1,1,1,2,1,2,contextual_background,crop_weed_segmentation,MFWD,classification;detection,RGB;UAV,medium,Better-Weeds – Next generation weed management,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_5f6a7b8c9d0e1f2a,doi:10.1109/icra48891.2023.10160918,136,173,"Hierarchical Approach for Joint Semantic, Plant Instance, and Leaf Instance Segmentation in the Agricultural Domain",3,2,3,2,4,4,2,3,segmentation_method,crop_weed_segmentation,MuST-C,instance_segmentation,RGB,high,Hierarchical CNN for joint semantic+plant+leaf instance segmentation; task-specific skip connections; camera frame rate; ICRA 2023,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_949f6b017e90c886,doi:10.1007/978-3-319-16220-1_8,137,174,A Crop/Weed Field Image Dataset for the Evaluation of Computer Vision Based Precision Agriculture Tasks,2,4,1,1,1,1,1,1,dataset_introduction,crop_weed_segmentation,CropWeed_Carrot_Bonn;MFWD;WeedsGalore,classification;detection,RGB,high,A Crop/Weed Field Image Dataset for the Evaluation of Computer Vision Based Precision Agriculture Tasks,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_1cea6be1e214423a,doi:10.1016/j.compag.2019.104963,138,175,Unsupervised deep learning and semi-automatic data labeling in weed discrimination,2,1,1,1,4,3,1,2,contextual_background,crop_weed_segmentation,WeedsGalore,classification;clustering,RGB;UAV,medium,Unsupervised deep learning and semi-automatic data labeling in weed discrimination,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_fb3b2b870d6428a8,doi:10.1016/j.aej.2026.01.030,139,177,Edge-refined U-net for multi-task weed detection and segmentation with pixel-level boundary refinement,3,1,1,2,1,1,1,1,segmentation_method,crop_weed_segmentation,WeedsGalore,semantic_segmentation;instance_segmentation;object_detection,RGB,high,Edge-refined U-net for multi-task weed detection and segmentation with pixel-level boundary refinement,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_19fd074fc0c490be,doi:10.1109/i2mtc.2019.8826921,140,182,Vision-Based Deep Learning Approach for Real-Time Detection of Weeds in Organic Farming,2,1,1,1,3,3,1,2,contextual_background,crop_weed_segmentation,SoyCotton,object_detection;classification,RGB,medium,Vision-Based Deep Learning Approach for Real-Time Detection of Weeds in Organic Farming,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_7a170c3644b9c89e,doi:10.5447/ipk/2025/14,141,184,TomatoMAP_ Tomato Multi-Angle Multi-Pose Dataset for Fine-Grained Phenotyping,2,4,1,2,1,4,2,1,dataset_introduction,3d_phenotyping,TomatoMAP,semantic_segmentation,RGB,medium,"TomatoMAP: 64,464 RGB images, 12 poses, 4 angles; 3,616 with pixel-wise segmentation; 50 BBCH growth stage classifications; AI vs Human agreement",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_c058c537ab9dc265,doi:10.3390/s25123583,142,187,The IoT and AI in Agriculture: The Time Is Now—A Systematic Review of Smart Sensing Technologies,2,1,1,1,4,3,2,4,survey_or_review,multispectral_reliability,Horti-M3-Tomato,classification;object_detection,RGB;multispectral;hyperspectral,medium,The IoT and AI in Agriculture: The Time Is Now—A Systematic Review of Smart Sensing Technologies,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_0c1c8530aa84bfae,doi:10.1080/10106049.2024.2440407,143,188,EGCM-UNet: Edge Guided Hybrid CNN-Mamba UNet for farmland remote sensing image semantic segmentation,3,2,2,2,4,3,2,3,segmentation_method,remote_sensing_uav,AgriculturalField-Seg;BAWSeg,semantic_segmentation,RGB,medium,Edge-guided CNN-Mamba hybrid for farmland segmentation; mIoU 0.394 on AgriculturalField-Seg dataset,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
SC_e4f5a6b7,doi:10.1145/3637528.3671536,144,191,An Open and Large-Scale Dataset for Multi-Modal Climate Change-aware Crop Yield Predictions,2,4,2,2,1,4,2,2,dataset_introduction,multimodal_fusion,CropNet;Horti-M3-Tomato,regression,multispectral;tabular,medium,"Terabyte-scale multimodal crop yield dataset (Sentinel-2, WRF-HRRR, USDA); climate change aware; county-level US",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_611eba7d3fb7df69,doi:10.1109/mra.2023.3321402,145,192,Field Robot for High-Throughput and High-Resolution 3D Plant Phenotyping: Towards Efficient and Sustainable Crop Production,2,1,1,1,1,2,1,2,3d_or_phenotyping_method,orchard_robotics,MuST-C,3D_reconstruction;phenotyping,3D;LiDAR;point_cloud;RGB,medium,Field Robot for High-Throughput and High-Resolution 3D Plant Phenotyping: Towards Efficient and Sustainable Crop Product,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_7b8c9d0e1f2a3b4c,doi:10.3389/fpls.2022.1053329,146,194,Weed25: A deep learning dataset for weed identification,3,4,2,2,1,4,2,1,dataset_introduction,crop_weed_segmentation,MFWD;Weed25,object_detection,RGB,high,"Weed25: 14,035 images of 25 weed species; monocot and dicot; multiple growth stages; YOLOv3/v5 and Faster R-CNN baselines 91.8-92.4% accuracy",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_869b5113659cb161,doi:10.3390/rs12081246,147,196,Open Plant Phenotype Database of Common Weeds in Denmark,2,4,1,1,2,1,2,2,3d_or_phenotyping_method,3d_phenotyping,MFWD;OPPD,object_detection;classification,RGB,high,Open Plant Phenotype Database of Common Weeds in Denmark,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_18d7486d70621e7a,doi:10.1109/access.2024.3450904,148,197,Advancements in Precision Spraying of Agricultural Robots: A Comprehensive Review,2,1,1,1,1,3,1,4,survey_or_review,orchard_robotics,AgriVision,object_detection,RGB;multimodal,medium,Advancements in Precision Spraying of Agricultural Robots: A Comprehensive Review,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_83367f141c3e65ef,doi:10.1109/mm.2021.3134744,149,203,Challenges and Opportunities for Autonomous Micro-UAVs in Precision Agriculture,2,1,1,1,1,3,2,2,contextual_background,remote_sensing_uav,WeedsGalore,object_detection;semantic_segmentation,RGB;UAV;multimodal,medium,Challenges and Opportunities for Autonomous Micro-UAVs in Precision Agriculture,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_b2fd133090bae1bc,doi:10.3389/fpls.2022.844522,150,206,A Segmentation-Guided Deep Learning Framework for Leaf Counting,3,1,1,2,2,2,1,2,segmentation_method,other,CVPPP_2017;SoyCotton,semantic_segmentation;counting,RGB,high,A Segmentation-Guided Deep Learning Framework for Leaf Counting,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_5313fac3e2c78f79,doi:10.1109/lra.2023.3293356,151,207,Unsupervised Generation of Labeled Training Images for Crop-Weed Segmentation in New Fields and on Different Robotic Platforms,3,1,1,2,1,1,1,2,segmentation_method,orchard_robotics,WeedsGalore,semantic_segmentation,RGB,high,Unsupervised Generation of Labeled Training Images for Crop-Weed Segmentation in New Fields and on Different Robotic Pla,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_d5f2eb6ba9f9d27e,doi:10.1016/j.atech.2026.101997,152,208,CPO-SwinUnet: An Enhanced Swin-Unet for Organ-Level Structural Semantic Segmentation of Pepper Plants,3,1,1,2,1,1,1,1,segmentation_method,other,WeedsGalore,semantic_segmentation,RGB,high,CPO-SwinUnet: An Enhanced Swin-Unet for Organ-Level Structural Semantic Segmentation of Pepper Plants,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_36d5c5be3612cebb,doi:10.1109/iros47612.2022.9981304,153,212,BonnBot-I: A Precise Weed Management and Crop Monitoring Platform,3,3,2,2,3,3,1,3,dataset_introduction,orchard_robotics,BonnBot_I_corn;WeedsGalore,classification,RGB,medium,BonnBot-I robotic weed management platform; GNSS+odometry fusion (3.5% tracking error); novel weeding tool arrangement; introduces corn dataset,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_a18bdd76de97942c,doi:10.1186/s13362-023-00133-6,154,216,Unsupervised deep learning techniques for automatic detection of plant diseases: reducing the need of manual labelling of plant images,2,1,2,1,2,3,1,2,contextual_background,multispectral_reliability,MuST-C,classification;anomaly_detection,multispectral,medium,Unsupervised deep learning techniques for automatic detection of plant diseases: reducing the need of manual labelling o,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_8daacd553f43beb0,doi:10.1016/j.compag.2025.111167,155,218,"Recent developments and applications of weed detection, invasion prediction and early warning: A review",2,1,1,1,1,1,1,4,survey_or_review,multispectral_reliability,MFWD,object_detection;classification;semantic_segmentation,RGB;multispectral;UAV,low,"Recent developments and applications of weed detection, invasion prediction and early warning: A review",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_d67799b976470394,doi:10.1109/access.2020.3021739,156,221,Semantic Segmentation of Litchi Branches Using DeepLabV3+ Model,3,1,2,2,2,3,1,2,segmentation_method,other,AgriVision,semantic_segmentation,RGB,high,Semantic Segmentation of Litchi Branches Using DeepLabV3+ Model,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_eeaa190ad58a4b55,doi:10.3390/agronomy13061503,157,222,Real-Time Detection of Crops with Dense Planting Using Deep Learning at Seedling Stage,2,4,1,1,2,3,1,2,contextual_background,other,AgriVision,object_detection,RGB,high,Real-Time Detection of Crops with Dense Planting Using Deep Learning at Seedling Stage,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_2f3cd6b7b4369652,doi:10.1109/wacv51458.2022.00302,158,223,In-Field Phenotyping Based on Crop Leaf and Plant Instance Segmentation,3,1,1,2,1,2,1,2,3d_or_phenotyping_method,3d_phenotyping,MuST-C,instance_segmentation,RGB;UAV,high,In-Field Phenotyping Based on Crop Leaf and Plant Instance Segmentation,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_784e506906e0750c,doi:10.1016/j.biosystemseng.2023.08.010,159,224,The added value of 3D point clouds for digital plant phenotyping – A case study on internode length measurements in cucumber,2,1,2,1,3,3,2,2,3d_or_phenotyping_method,3d_phenotyping,TomatoWUR,3d_reconstruction,depth,medium,3D vs 2D internode measurement in cucumber; PointNet++ segmentation; 3D method significantly more accurate for curved plants,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_d199d79755cdaea8,doi:10.3390/s17102307,160,227,Application of Multilayer Perceptron with Automatic Relevance Determination on Weed Mapping Using UAV Multispectral Imagery,2,1,1,1,2,3,1,2,contextual_background,remote_sensing_uav,BAWSeg,classification,multispectral,medium,MLP-ARD for Silybum marianum detection from UAV multispectral; 99.54% accuracy; NIR+RGB+texture features,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
SC_w9x0y1z2,doi:10.1186/s13007-020-00672-8,161,230,An automatic method for counting wheat tiller number in the field with terrestrial LiDAR,2,1,1,1,2,3,1,2,3d_or_phenotyping_method,3d_phenotyping,MuST-C,detection,lidar,medium,"Automatic wheat tiller counting from terrestrial LiDAR; ALHC algorithm; field validation across cultivars, years, sites",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_e787dae36c57a92a,doi:10.1109/iccca52192.2021.9666441,162,232,Investigation on Object Detection Models for Plant Disease Detection Framework,2,1,1,1,4,4,1,2,contextual_background,plant_disease_segmentation,PlantSeg;PlantVillage,object_detection,RGB,medium,Investigation on Object Detection Models for Plant Disease Detection Framework,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_6a7b8c9d0e1f2a3b,doi:10.1109/siu59756.2023.10223838,163,237,PLANesT-3D: A New Annotated Data Set of 3D Color Point Clouds of Plants,2,4,2,2,1,4,2,1,dataset_introduction,3d_phenotyping,PLANesT-3D;TomatoWUR,3d_reconstruction,depth,medium,"PLANesT-3D: 34 3D color point clouds of pepper, rosebush, ribes; leaf/stem instance labels; PointNet++ benchmark; phenotyping applications",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_136d54610765e2ea,doi:10.1016/j.aiia.2024.06.002,164,239,Image classification on smart agriculture platforms: Systematic literature review,2,1,2,1,2,1,1,4,survey_or_review,multispectral_reliability,AgriVision,classification;object_detection,RGB;multispectral,medium,Image classification on smart agriculture platforms: Systematic literature review,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_7eb20c7fdb872f5e,doi:10.1109/lra.2023.3288383,165,241,High Precision Leaf Instance Segmentation for Phenotyping in Point Clouds Obtained Under Real Field Conditions,3,1,1,2,2,2,1,2,3d_or_phenotyping_method,3d_phenotyping,MuST-C,instance_segmentation,lidar_or_point_cloud;3d,high,High Precision Leaf Instance Segmentation for Phenotyping in Point Clouds Obtained Under Real Field Conditions,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_228e5b48dd4a06e7,doi:10.3390/rs12132136,166,243,Comparison of Object Detection and Patch-Based Classification Deep Learning Models on Mid- to Late-Season Weed Detection in UAV Imagery,2,1,2,1,4,4,1,3,contextual_background,remote_sensing_uav,MFWD,object_detection,RGB;UAV,medium,Comparison of Object Detection and Patch-Based Classification Deep Learning Models on Mid- to Late-Season Weed Detection,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_d0bcecd8d8a3da8f,doi:10.1016/j.compag.2019.02.005,167,244,A review on weed detection using ground-based machine vision and image processing techniques,2,1,1,1,1,2,1,4,survey_or_review,multispectral_reliability,MFWD,classification;object_detection;semantic_segmentation,RGB;multispectral,medium,A review on weed detection using ground-based machine vision and image processing techniques,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_650f2add35644c3a,doi:10.5281/zenodo.17719108,168,245,A Large-Scale In-the-wild Dataset for Plant Disease Segmentation,3,4,1,2,1,1,1,1,segmentation_method,plant_disease_segmentation,PlantSeg,semantic_segmentation,RGB,high,A Large-Scale In-the-wild Dataset for Plant Disease Segmentation,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_05931800ca6505f7,doi:10.1016/j.aiia.2024.06.004,169,251,Computer vision in smart agriculture and precision farming: Techniques and applications,2,1,1,1,1,3,2,2,contextual_background,multispectral_reliability,AgriVision,classification;object_detection;semantic_segmentation,RGB;multispectral;UAV,medium,Computer vision in smart agriculture and precision farming: Techniques and applications,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_a3f23d017e5b8e0f,doi:10.1109/agro-geoinformatics59224.2023.10233389,170,253,SegFormer-Based Cotton Planting Areas Extraction from High-Resolution Remote Sensing Images,2,1,1,1,2,3,1,2,contextual_background,remote_sensing_uav,AgriVision,semantic_segmentation,RGB;remote_sensing,medium,SegFormer-Based Cotton Planting Areas Extraction from High-Resolution Remote Sensing Images,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_1fef2126e513a48d,doi:10.1186/s13007-019-0528-3,171,255,DeepSeedling: deep convolutional network and Kalman filter for plant seedling detection and counting in the field,2,1,1,1,4,4,2,3,contextual_background,other,MFWD,object_detection;counting,RGB,medium,DeepSeedling: deep convolutional network and Kalman filter for plant seedling detection and counting in the field,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
